T1toT2_ScaMorphDiff_ncc1_reg1
,Background,WT,TC,ET,,HD_wt,HD_tc,HD_etnon_jec
p_0,0.9993236542135387,0.8748888508854288,0.9064870847272295,0.8345957002716523,2.0,1.4142135623730951,1.4142135623730951,9.419759114583333e-05
p_1,0.9988339163051743,0.931571885586956,0.9206032246117183,0.7766729869174783,2.0,2.0,1.7320508075688772,0.00034688313802083335
p_2,0.9996078444993038,0.9210147014534829,0.921059097886393,0.8638664764816222,1.4142135623730951,1.4142135623730951,1.4142135623730951,6.8359375e-05
p_3,0.9982162755447009,0.9330012159834856,0.9223508751409824,0.7350287118511417,2.0,2.23606797749979,2.0,0.0002801513671875
p_4,0.9988452178997166,0.9489212307057474,0.9307394528858792,0.9030609497813058,1.4142135623730951,1.7320508075688772,1.4142135623730951,7.100423177083333e-05
p_5,0.9990268110989408,0.9514069145825157,0.9282896731519015,0.8267718486698985,1.4142135623730951,2.0,1.7320508075688772,0.000113525390625
p_6,0.9977194560920378,0.858931403085904,0.8883989749769808,0.7839315655826553,2.23606797749979,2.23606797749979,1.7320508075688772,7.222493489583333e-05
p_7,0.9993227228273138,0.9002609232010224,0.903105970490769,0.6259214809592313,2.449489742783178,2.8284271247461903,2.23606797749979,9.236653645833334e-05
p_8,0.9986511641699172,0.9180059962841534,0.8949334198608013,0.7029915061271089,2.8284271247461903,3.0,2.449489742783178,0.000152587890625
p_9,0.9974796842617321,0.9236499305730186,0.9453701328494138,0.7844645326757733,2.0,2.0,2.0,8.138020833333334e-07
p_10,0.998897728634602,0.947000524205657,0.9016161463465117,0.7847755587012202,1.4142135623730951,2.23606797749979,2.0,0.00013142903645833333
p_11,0.9988904691434757,0.9509221084742453,0.9543489919178104,0.8285692792183373,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.0517578125e-06
p_12,0.9994850024347763,0.9154001343450907,0.8891833454988609,0.7859059195261081,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.00022379557291666666
p_13,0.9994836806938863,0.8669823728316278,0.8887514938012648,0.81575369035754,2.0,2.23606797749979,2.0,3.743489583333333e-05
p_14,0.9992291603939023,0.9203823344344672,0.9109650870381951,0.8655727906616605,2.0,1.7320508075688772,1.7320508075688772,7.181803385416667e-05
p_15,0.9980434824845744,0.940100020874456,0.955690167969964,0.7233451737818306,2.0,2.0,1.7320508075688772,8.4228515625e-05
p_16,0.9977650262197926,0.9421091808440305,0.8586840188851286,0.7267452020962097,2.0,3.4641016151377544,3.0,8.9111328125e-05
p_17,0.9996278420060764,0.9468991623504539,0.9472775426992964,0.8348062540768377,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.00015360514322916666
p_18,0.9972449818625282,0.920935206780493,0.9504276148464789,0.8494038845681435,1.4142135623730951,1.4142135623730951,1.4142135623730951,6.083170572916667e-05
p_19,0.9980057020697111,0.9488541031117745,0.9370546795119684,0.8399247448579216,1.4142135623730951,1.7320508075688772,1.7320508075688772,6.978352864583333e-05
p_20,0.9981596167988529,0.9264601717904362,0.9116489983315341,0.8371143289115763,2.0,2.23606797749979,2.0,5.330403645833333e-05
p_21,0.9986044699351165,0.9475605017934693,0.9449573304034987,0.8393984111652486,1.7320508075688772,1.7320508075688772,2.0,4.069010416666667e-06
p_22,0.9987470014031766,0.9439799874948165,0.9470029260897667,0.7694234425565397,2.23606797749979,2.23606797749979,1.7320508075688772,0.0006036376953125
p_23,0.9986289695718177,0.9202460634106849,0.917614232858658,0.8671209228914107,2.0,1.7320508075688772,1.4142135623730951,0.0001190185546875
