T2toT1_ScaMorphDiff_ncc1_reg1
,Background,WT,TC,ET,,HD_wt,HD_tc,HD_etnon_jec
p_0,0.9993016310702308,0.860697024520118,0.8875673658357486,0.8255598024843694,2.23606797749979,1.7320508075688772,1.4142135623730951,2.44140625e-06
p_1,0.9987879903864767,0.9284781148325207,0.9334689176274514,0.8208234091367078,2.23606797749979,1.7320508075688772,1.4142135623730951,3.662109375e-06
p_2,0.999556523342316,0.9063760921552754,0.9101152041682127,0.8369768890955749,2.0,2.0,1.7320508075688772,4.069010416666667e-07
p_3,0.9976818386559729,0.9175847669983013,0.9311019289343656,0.7539802376873611,2.23606797749979,2.0,1.7320508075688772,2.0345052083333335e-07
p_4,0.9985803865210904,0.9329559056823645,0.9215164525854211,0.8848460382640854,1.7320508075688772,2.23606797749979,1.7320508075688772,0.0
p_5,0.9988897592649626,0.9431634164099687,0.9370184996947406,0.8431160602189195,1.7320508075688772,1.7320508075688772,1.4142135623730951,5.696614583333334e-06
p_6,0.9976194279466785,0.8484748838670161,0.8888584133203654,0.7854365154614436,2.23606797749979,2.0,1.7320508075688772,0.0
p_7,0.999438526192165,0.9107651258543991,0.9177256169733456,0.6848434235136354,2.0,2.23606797749979,2.0,4.069010416666667e-07
p_8,0.9982298005368988,0.8983187881424441,0.8892511664693246,0.705248498880756,3.1622776601683795,3.1622776601683795,2.8284271247461903,2.0345052083333335e-07
p_9,0.9971647169474094,0.9090890744464893,0.9320594954005008,0.744254912718107,2.23606797749979,2.23606797749979,2.0,4.069010416666667e-07
p_10,0.9985858604290317,0.9284844923338815,0.9044157640052376,0.7839096872440716,2.0,2.23606797749979,2.0,0.0
p_11,0.998524838064048,0.9349230825285952,0.9417066003133855,0.7836057399879632,1.7320508075688772,1.7320508075688772,1.4142135623730951,0.0
p_12,0.9993792090913023,0.8971759838462935,0.8900024740843835,0.784889820982412,2.0,1.4142135623730951,1.4142135623730951,2.0345052083333335e-07
p_13,0.9995900161523638,0.8762209962480446,0.8980764543958722,0.8306511649787234,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.0
p_14,0.9989311663744459,0.8829323138202234,0.8593038045890357,0.806676685056173,2.449489742783178,2.23606797749979,2.23606797749979,0.0
p_15,0.9976578022086369,0.9314527798529716,0.9516774457041299,0.7304380556893241,2.0,2.23606797749979,2.0,0.0
p_16,0.9971063243547366,0.9249445098806636,0.8198222769750035,0.6791899030233274,2.23606797749979,4.123105625617661,3.3166247903554,6.103515625e-07
p_17,0.9995565700973746,0.9382772388850146,0.9385865914860377,0.7996116817410379,1.4142135623730951,1.4142135623730951,1.7320508075688772,0.0
p_18,0.9969241332498849,0.911082850578327,0.9453626069518389,0.8424956811191708,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.0
p_19,0.9974769811222527,0.9342291488577187,0.9342426627338285,0.8246645313932248,2.0,1.7320508075688772,1.7320508075688772,8.138020833333334e-07
p_20,0.9975993949629903,0.9078089801706012,0.907555854247575,0.8227772291120607,2.449489742783178,2.449489742783178,2.23606797749979,0.0
p_21,0.9983256738179256,0.9354756972696734,0.9297929366975343,0.8054308888700301,2.23606797749979,2.23606797749979,2.23606797749979,0.0
p_22,0.9982811585788375,0.9254699866912091,0.9228626271369277,0.6920662315201913,2.8284271247461903,2.8284271247461903,2.23606797749979,4.069010416666667e-07
p_23,0.9984762724304872,0.9116141152761054,0.9098135482918619,0.8644238796158461,2.23606797749979,2.0,1.7320508075688772,4.2724609375e-06
p_24,0.9981525223782144,0.9444375953954222,0.8709187934341093,0.7644031793714491,2.23606797749979,1.7320508075688772,1.4142135623730951,4.069010416666667e-07
p_25,0.9996882149745487,0.9266416688475526,0.9140464404590611,0.8834650799105758,1.4142135623730951,1.4142135623730951,1.4142135623730951,4.069010416666667e-07
p_26,0.998791846673481,0.9019981287672081,0.9010686147263283,0.8743340471043186,2.0,1.4142135623730951,1.4142135623730951,0.0
p_27,0.9972007118595317,0.9051830252143418,0.9404686638970715,0.8020505152131093,2.23606797749979,2.23606797749979,2.0,5.4931640625e-06
p_28,0.9985989830175146,0.9342993144456587,0.9318188769097934,0.8373318254921767,1.7320508075688772,2.23606797749979,2.23606797749979,0.0
p_29,0.9986489312968041,0.9148916778906565,0.9354189507129884,0.7246906739197246,2.449489742783178,2.23606797749979,2.0,2.0345052083333335e-07
p_30,0.9996586950587335,0.8977682663106792,0.9180758235517907,0.8271321687509904,1.4142135623730951,1.4142135623730951,1.4142135623730951,6.103515625e-07
p_31,0.9989506755474541,0.9351609956159636,0.7813968042884485,0.3157894677483183,1.7320508075688772,2.0,2.0,0.0
p_32,0.9985618125201865,0.9449509760456059,0.9394804195779345,0.8406107077703007,1.7320508075688772,2.0,2.0,0.0
p_33,0.9971283816044407,0.8906199672782191,0.9214178195639505,0.8465497869455556,2.0,2.0,1.7320508075688772,6.103515625e-07
p_34,0.9988969585342344,0.9375970013214093,0.9260738998660303,0.7326901939839564,2.23606797749979,3.0,2.23606797749979,2.44140625e-06
p_35,0.9972100257210351,0.8630446191111304,0.9205012873085715,0.6968502351870851,2.23606797749979,2.449489742783178,2.23606797749979,3.41796875e-05
p_36,0.9987650330880277,0.9180428972166078,0.8329471240610138,0.7324277163930535,2.0,2.449489742783178,2.23606797749979,0.0
p_37,0.9972342266281574,0.9139487782270368,0.9271107673448716,0.7805026470175254,2.23606797749979,2.449489742783178,2.23606797749979,0.0
