T2toT1_ScaMorph_ncc1_reg1
,Background,WT,TC,ET,,HD_wt,HD_tc,HD_etnon_jec
p_0,0.9992625790989239,0.8568138498934216,0.8827522927681172,0.8018018009208946,2.23606797749979,2.0,1.4142135623730951,0.006252237955729167
p_1,0.998717821963407,0.9229535906359247,0.9296011531520901,0.8074774980827423,2.23606797749979,2.0,1.7320508075688772,0.0061043294270833335
p_2,0.9995317335821629,0.899012606695977,0.9072030723213218,0.8340094799359399,2.0,2.0,1.7320508075688772,0.0031585693359375
p_3,0.997590188085587,0.9138224394134232,0.9246607050358592,0.727166957341169,2.23606797749979,2.23606797749979,2.0,0.0029030354817708333
p_4,0.9985279716024102,0.9299022201539203,0.9225499824967341,0.8817755509621135,1.7320508075688772,2.0,1.7320508075688772,0.0045021565755208335
p_5,0.9988464410143947,0.9405769230266786,0.9356512362819804,0.8416497698329336,1.7320508075688772,1.7320508075688772,1.4142135623730951,0.0048868815104166664
p_6,0.9976809647308673,0.8534160678737155,0.880922741601003,0.7783658933744668,2.23606797749979,2.23606797749979,2.0,0.0016953531901041667
p_7,0.9994230533773903,0.9087021316483019,0.9172697201729437,0.6568857420322917,2.23606797749979,2.23606797749979,2.23606797749979,0.0026015218098958334
p_8,0.9980942437540291,0.8904541506008273,0.8750355201943137,0.6787403019925239,3.7416573867739413,3.7416573867739413,3.0,0.00256591796875
p_9,0.997144300057742,0.9080588244919358,0.9294969681941805,0.7324139264006527,2.23606797749979,2.23606797749979,2.23606797749979,0.0021221923828125
p_10,0.9984897796864853,0.9239481946552175,0.9090188499395558,0.7782435472793198,2.23606797749979,2.23606797749979,2.0,0.0015932210286458332
p_11,0.9985652648423314,0.9369945629397819,0.9472292650230134,0.8016347615438882,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.0020713297526041667
p_12,0.9994679571314062,0.9113267723710449,0.888440690225362,0.7799521090083791,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0035158284505208332
p_13,0.9995894840962346,0.8780177117317669,0.8971570306729837,0.8228833973088567,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.002650960286458333
p_14,0.9988398013125112,0.8741915013443405,0.8677035679625563,0.8153470857465802,2.8284271247461903,2.23606797749979,2.23606797749979,0.0015875244140625
p_15,0.9976322982035537,0.9307465074487431,0.9512645660150192,0.7167716722678408,2.0,2.0,1.7320508075688772,0.005981852213541666
