ScaMorphDiff_ncc1_reg1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9718790871357799,0.8283088738447676,0.675378956907044,0.9169706909926371,0.5091911717905223,0.7255652806515396,0.8175702926352868,0.8209876538602763,0.7789551493605777,0.5321563675508747,0.6542354804096018,0.8327818762209674,0.8040432686574867,0.8390489642359125,0.8387498879541003,0.7526657977824036,0.6663223106078393,0.5798121997674625,0.828824001402961,0.4307691644970516,0.4008589806667217,0.814599077942474,0.6612053289688833,0.9021676165659072,0.4077010146353226,0.7627665816956646,0.8398611394159785,0.8489740582605373,0.7898461183984655,0.5904738209296433,0.7135544163953831,0.8516151314116297,0.7977958773411695,0.6249999937996032,0.8267093439790972,0.10666665244444634,0.43638221545026973,0.0,0.003638568807528388,0.0,0.1464968106211207,0.0,0.0,0.0,0.0,0.0,0.00018325079055059524
p_1,0.9697016885212673,0.8186478653354162,0.6801505563038048,0.9081296989813998,0.41904761239606964,0.7321892873901915,0.7044418935820765,0.8435835912905474,0.8169717126775212,0.6189507003403995,0.671857617708961,0.7979999973399999,0.7213706025217075,0.8142867351318098,0.8258989762460203,0.822385859138775,0.732637309429699,0.6129032199914306,0.84035936337214,0.3571428146258554,0.43255295188097576,0.8180624176832139,0.6798343642675084,0.8968600817263296,0.6061151024629937,0.787680307795385,0.7085827402077457,0.8733569256361495,0.7770950440879919,0.5603726256295561,0.6638115613923673,0.8365423176528858,0.777864785231363,0.6736111052637925,0.8479824202477203,0.36923074082840457,0.4185110642932039,0.0,0.0071581960833343155,0.0,0.3931623847614875,0.0,0.0,0.0,0.0,0.0,0.0003410702659970238
p_2,0.9749224435194452,0.8283765903178176,0.6829034052545472,0.8271531490335428,0.29890109233184414,0.8175316244196768,0.7839500371696473,0.8895909539465742,0.8311653105268763,0.5523138826052391,0.6614639379400863,0.7267729481760695,0.7332924563663628,0.813759591544675,0.8330460999213205,0.7951967952128192,0.706586822821423,0.48032290130854793,0.8417381460630238,0.03636362975206731,0.25271738787068765,0.8301971255413593,0.703412928872794,0.8497623786219819,0.42894056293358446,0.7728475193572292,0.8218172487672516,0.857688302176508,0.8594059394595301,0.5841646665182919,0.6963464778699577,0.8265512257560835,0.825370673186791,0.5849889560155744,0.8429720768168746,0.37499992187501624,0.3510531559573405,0.0,0.0022573363176372875,0.0,0.389489947612211,0.0,0.0,0.0,0.0,0.0,0.0001594180152529762
p_3,0.9723770125189176,0.8355146177971977,0.6819384492959157,0.8914141411014962,0.4365079307340221,0.7706673854144095,0.8108779581728759,0.8397918507308504,0.8298860266921542,0.5395251753984801,0.6294117631632065,0.8104621970244994,0.788754700477619,0.8779157734084737,0.853806303579062,0.7952437555404429,0.7145931953741145,0.5066394228126719,0.8332038826862098,0.13114751948401318,0.3221153820343319,0.8294819711702206,0.6832333444271105,0.8826262534705692,0.5576748359884212,0.7903138078392143,0.8011148023518498,0.8698844482005992,0.8063312304641215,0.5870646758680129,0.667901804845063,0.8236690705655474,0.8421610147188532,0.6060070617843899,0.8160510024226036,0.0,0.3540731215261506,0.0,0.005486968374664357,0.0,0.2935010451414985,0.0,0.0,0.0,0.0,0.0,0.0001713344029017857
p_4,0.9666731320403413,0.8393174038328445,0.6647789292975929,0.8734466139366521,0.5276595669835522,0.8197094842651123,0.838530432706264,0.8708806046078441,0.857035269415043,0.673149015143921,0.6555497637948156,0.7811611823744977,0.7964715989748891,0.8907396522725649,0.8381629868833947,0.801772523480731,0.7082961609799457,0.6009661777684427,0.8378860407041341,0.6585365050565237,0.4654696100450994,0.83718765054564,0.6721067226939028,0.8501531650569464,0.5598455544416452,0.843774566715342,0.86054005861615,0.8729424164530828,0.8775612182939015,0.7871662446026083,0.7443334127605815,0.8485781738542468,0.8225180232320631,0.6572847627708215,0.8498233207206288,0.0930232341806432,0.5011627877839373,0.0,0.005305039717439792,0.0,0.6091953906284409,0.0,0.0,0.0,0.0,0.0,0.00046372186569940474
p_5,0.9738781417189596,0.8239114310088306,0.7198085335620648,0.8271117487274996,0.19999999565217402,0.7723272793549131,0.7619932222806548,0.8480514832994273,0.7863969209551981,0.5722023400984599,0.6074523383720704,0.6869859666812482,0.8272290032792656,0.8542148656344867,0.8089675953193599,0.7390767693431824,0.5781563097286758,0.5559210480598599,0.8323201614046605,0.0,0.22126745197349676,0.8235191079792775,0.7285282716405282,0.8073986078335325,0.07436399071694735,0.7869747394260804,0.8268500287264502,0.8626253367625463,0.7269898255811014,0.5308407472449858,0.5373014266291948,0.7735692555768415,0.7280253208472722,0.4869442449756934,0.7831487069627823,0.0,0.2936763098212614,0.0,0.0017108639716778104,0.0,0.26834380988797046,0.0,0.0,0.0,0.0,0.0,0.00019473121279761906
p_6,0.9749081791353089,0.8315325200633437,0.6860676747021823,0.9294559494216419,0.6147473048270616,0.8306980329197845,0.8197366624654496,0.8309756092494052,0.7996198740162641,0.6724857676502394,0.6281667103563968,0.8612593367818226,0.8610928230927021,0.8713539545395207,0.8160033331777419,0.7814414917378422,0.7280202380518018,0.5312499940708706,0.8312570773581945,0.41304343336484417,0.5051334676327851,0.8142145388919642,0.6833263031503726,0.9261324040659367,0.6191646172630079,0.8240019806795603,0.8488846955829344,0.8083153342276489,0.7601591694680343,0.6408688045925992,0.6860226087203941,0.7911857284457653,0.8377596612207213,0.6714285634353743,0.820517830170476,0.1851851508916387,0.42466822628935114,0.0,0.004920049185362702,0.0,0.5423728729988772,0.0,0.0,0.0,0.0,0.0,5.711146763392857e-05
p_7,0.9721957456297547,0.8261702661251089,0.6789941357261349,0.9141948048657842,0.6915281690655526,0.8029204915437481,0.8223612512060302,0.8375939844375978,0.8203157161011453,0.6547929327327064,0.7409790835647458,0.8500257673079784,0.8309536385846049,0.9140575677943562,0.8433993552118262,0.8406190582660357,0.6431146335864648,0.4014272934752249,0.82094140170899,0.1428570918367529,0.5137614657474501,0.8231781188832974,0.6809905462290121,0.9327694977166778,0.655453062097379,0.8219554028524998,0.8515392418263015,0.8344888435431181,0.8190954763037617,0.5984987953568917,0.759829700075558,0.8481614428561546,0.8147745768202754,0.6168716993245018,0.8494377731566249,0.3137254286812885,0.5545196572577232,0.0,0.0017431725690204166,0.0,0.6105610460303458,0.0,0.0,0.0,0.0,0.0,0.00013035365513392857
p_8,0.9674834420549594,0.8424859145052631,0.6804032712525603,0.8038645933431174,0.46780765714908185,0.7986092817787995,0.8226401915272251,0.8497501036808881,0.8568707471335092,0.6918954383770147,0.6304096259421208,0.8019169297048045,0.74618403675058,0.8970555062382566,0.809160304571412,0.7942238248033121,0.7135678362078398,0.5858407027801708,0.8400816597141191,0.5294117128027732,0.26562499740600587,0.8288329591177901,0.6669268871105611,0.7930600948847036,0.6114081941942229,0.8218962236289333,0.8590667909535282,0.8780254264173492,0.8272545079128196,0.7447392490141921,0.7001369221813398,0.8382287684459768,0.827037771304578,0.6574394406795896,0.8394421590922205,0.32876707825108514,0.30446193959350887,0.0,0.0044593087574213075,0.0,0.5828970229860904,0.0,0.0,0.0,0.0,0.0,0.0002809070405505952
p_9,0.9696607133935768,0.8276413854170775,0.6828333346949579,0.8455612179414714,0.3179297538275462,0.7424413562892533,0.7899626349497133,0.8163934421272657,0.8024007374539848,0.5087447941597326,0.5742011820728966,0.8400590530510358,0.7744598184645307,0.882451871906593,0.8474370631407977,0.7774462983966399,0.7246376779769974,0.5346293981211495,0.8258823521937716,0.29999995000000834,0.38139534588065627,0.8203454030873035,0.6727674017801897,0.8896212177838397,0.5126050366323001,0.7472011271830681,0.8274524754274281,0.8520354900495594,0.7860903286421581,0.5954976296261877,0.6669905254627386,0.826495896711531,0.8006034679391414,0.5757290632574876,0.8512060702401246,0.19607839292580528,0.48961748366329244,0.0,0.006024096294817827,0.0,0.23030302565044394,0.0,0.0,0.0,0.0,0.0,0.00029587518601190474
