ScaMorph_ncc1_reg1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9741947871660841,0.8309840770228119,0.6915788442746601,0.9160138190560035,0.5110663932488291,0.7187814011330087,0.8161947450299775,0.8272007963109607,0.7883480816269075,0.5638566373500042,0.7346238648992309,0.8403404672676283,0.8093645470702966,0.8386876746404256,0.8328087050698726,0.7660110923701182,0.679671454416471,0.5759999934171429,0.8255594492445768,0.4285713673469475,0.37564958889643957,0.8239727666859586,0.6802384114617712,0.9002695415032255,0.41301907505029095,0.7565183102280747,0.8369911322054994,0.8558839723053155,0.7919296654734788,0.613111496631349,0.7572772038574178,0.8504560309323215,0.8296434378241822,0.6268656654043218,0.8293675357546506,0.15189871494952975,0.4083769612126861,0.0,0.007259528086754216,0.0,0.11900191710169065,0.0,0.0,0.0,0.0,0.0,0.014762660435267857
p_1,0.9720190141660489,0.8271708762178799,0.6991789530407979,0.9063705432769226,0.3544303747618794,0.7271878300540198,0.7166887844254735,0.8571756333273055,0.8115426684743673,0.6418799639873346,0.6586067914260023,0.8084096276418798,0.6798469373302574,0.7675636933213488,0.8236279840556892,0.812096298261608,0.7472035760751518,0.5898876349261457,0.8414322242362461,0.3797467873738244,0.37909247341130115,0.8314913114175345,0.7029313088332446,0.8977606644044447,0.5938628105247039,0.7783791834396714,0.7217557119077935,0.8663576910251046,0.7830299845711275,0.5756690422161166,0.669525594560371,0.8347248759332815,0.7961703179738717,0.6714932065928216,0.8304900889157972,0.3255813701099713,0.41382816261399,0.0,0.00429799423855305,0.0,0.2486630982799051,0.0,0.0,0.0,0.0,0.0,0.017426990327380952
p_2,0.9763506613777705,0.8318248198098875,0.6971375835593355,0.8221478706146114,0.28686868107336,0.8118237134170573,0.7969597139356075,0.8934430633675203,0.8254521087401847,0.5744312554717714,0.654064270445411,0.7160493788725207,0.7238529474954318,0.7891875307570454,0.8217489992198151,0.7519946783510815,0.7209416345221107,0.4083865049372242,0.8377197053494656,0.0338982993392713,0.2216560481317701,0.8378086879364119,0.7154182966267891,0.8484343006684099,0.40096037934021156,0.7644378566193352,0.8162775935668046,0.8573904999090544,0.8646093225678144,0.5811688304430959,0.6767701846539871,0.8194990875928423,0.7887096752991675,0.5936170149615211,0.8421845566457773,0.3599999280000144,0.3433133698272119,0.0,0.002265005636862903,0.0,0.3327999946752001,0.0,0.0,0.0,0.0,0.0,0.01383390880766369
p_3,0.9742065498079413,0.8413052183923986,0.6954685688593608,0.8873787084851723,0.3914209062812211,0.7637999043331072,0.8188316876306411,0.8680311262828957,0.8329398683058744,0.5542200847299411,0.6154235129824942,0.7997138741068888,0.7783554770299337,0.8643019950566238,0.8452922638735629,0.7682752012224673,0.6859173670105847,0.46928499023882186,0.8069377302559589,0.13793101070154987,0.3226812133851815,0.8418207598698123,0.7019105785594273,0.881065320126609,0.5886654425167693,0.7807996944410727,0.8079270210193334,0.8705151926031192,0.8130563787729889,0.5794981710005067,0.649880094364796,0.8309821180420683,0.8442367579329263,0.6410026800268337,0.8033017533033471,0.0,0.34077855557894987,0.0,0.0027472527095157595,0.0,0.19382321412328846,0.0,0.0,0.0,0.0,0.0,0.01233273460751488
p_4,0.9710131058475376,0.8445216515294234,0.6919702689324411,0.8705899360647087,0.4747612486390007,0.8048614025606726,0.8426393462103525,0.8802694590388561,0.8523364475360293,0.6916647310289474,0.6542409490701216,0.7648456026728202,0.7874608134013359,0.8809039697208586,0.8279265083171375,0.8024582944031071,0.6666666635802468,0.5827814514400999,0.83374737164748,0.6292134124479312,0.48737201032510574,0.8453262730691732,0.6998715469934857,0.8556195347171596,0.5851364008924139,0.8358143485385819,0.8713574546501898,0.8822640627137006,0.8792124184283574,0.7882968063318536,0.7216284968915305,0.8314324570143011,0.8428372716471841,0.6408393814298678,0.8467466580365363,0.13043475425331427,0.5164960152645278,0.0,0.0,0.0,0.3316062141802465,0.0,0.0,0.0,0.0,0.0,0.019119698660714286
p_5,0.9747075783493054,0.8285658005572603,0.7269589031222676,0.8179823255927986,0.20720720254037833,0.762322786413876,0.7743880933451842,0.8411701183659713,0.8035847637495833,0.5626463694743888,0.5515245925850777,0.6369485264846115,0.824968058359248,0.8389049301547326,0.7954975399210201,0.7269056013959979,0.4775530316844942,0.512437806696204,0.7955524902641333,0.0,0.24324324050401758,0.8273499267808069,0.7334183968645405,0.7953438447986925,0.05303030202594125,0.7787538400588628,0.8293663361007281,0.836631201731813,0.7220953974262941,0.5112527379891927,0.47967145692059254,0.7418647159580761,0.6192489415089556,0.4352044321884655,0.7245301675531404,0.0,0.21174003970922392,0.0,0.0,0.0,0.10909090625737906,0.0,0.0,0.0,0.0,0.0,0.014883277529761905
p_6,0.9760112927549759,0.8394489130910265,0.7015245438936139,0.9354187383697347,0.6364823655355578,0.8289760021377325,0.8259492049415039,0.8371455796776593,0.806753725357138,0.6995548952775038,0.6349295756762546,0.8549204036633133,0.8587926497916107,0.8690396925533009,0.8257836084288415,0.7864657356085705,0.7223618067765019,0.5630434721408318,0.8265199650701698,0.4761904195011405,0.523860018431283,0.8241848168045822,0.6998680674839622,0.9251401421626982,0.6206896531340241,0.8119480661041585,0.8506633926607794,0.7789546550509141,0.7526598915090736,0.6044114114068432,0.645859550350215,0.7913233905607223,0.8365258440395543,0.7048780401844141,0.8172447960185879,0.18181814876033658,0.4183845879743677,0.0,0.0030816640891165974,0.0,0.32796208219941153,0.0,0.0,0.0,0.0,0.0,0.010496303013392856
p_7,0.9743747153733356,0.8279525760391306,0.6924346727041598,0.9159330071267329,0.6928571401077097,0.7954057941308735,0.8253161782769691,0.8372819898497956,0.815480120439202,0.6590091327719221,0.7273156882624866,0.8441760123482727,0.8212444124763761,0.9074259016355898,0.8367976122955767,0.8027829788526011,0.6305160784199099,0.410480345759997,0.8165119868363186,0.11111108024692215,0.5150250395867068,0.8316029255533888,0.6993953824855554,0.9332254842988287,0.6645468963193063,0.822494792634085,0.8577040270091476,0.8257619316173012,0.8315565020901433,0.591306762128445,0.7167167149231313,0.8471022222627879,0.8321753050984091,0.6340640755981106,0.8452620476714937,0.3461537795858116,0.5917071326421101,0.0,0.0029052876150340275,0.0,0.43969848693846125,0.0,0.0,0.0,0.0,0.0,0.011151994977678572
p_8,0.9710002740609207,0.8471663449177258,0.7015838246191954,0.794943217773771,0.44078431026835835,0.7791077829626903,0.8182995527303043,0.8523345300911572,0.852304796596822,0.7096635946971678,0.6296743048741271,0.8025477675057812,0.7223485616656016,0.8927600476384422,0.8059207315162911,0.8128855361825782,0.7158351378922553,0.5591766675885363,0.8340622580961647,0.5346534124105532,0.25213269903191754,0.8445405307447464,0.6977163062388262,0.794925648328215,0.5850891362634592,0.8058878657021092,0.856123785628194,0.8746063092539336,0.8350905638887665,0.7518115934462444,0.7287658359249981,0.8333333325945627,0.8290409594578343,0.665480421125619,0.8430350668288711,0.29999996250000466,0.2849740908033326,0.0,0.0044593087574213075,0.0,0.29936879802192246,0.0,0.0,0.0,0.0,0.0,0.01831417992001488
p_9,0.9721416288671725,0.8340680661813967,0.7033866208309772,0.8477969845481654,0.29328621389953685,0.7424995396538351,0.8051719956743733,0.8338808066436645,0.8033690646196493,0.5345632875588939,0.5236114496608479,0.830799409438942,0.7649613881154407,0.8589982331631892,0.8319353200283625,0.7323608194928227,0.7194371120517277,0.4724409395675935,0.8208009982866818,0.3384614863905405,0.35408245469618066,0.8357670402580745,0.6983053901599234,0.8960031970839316,0.5030060069839077,0.7456958862542525,0.8307915375449291,0.8572175384844687,0.7953571911077004,0.5995807120899362,0.6458909257454362,0.8262845841637504,0.7801660948212845,0.5655976621419081,0.8403480724202201,0.2127659121774655,0.46120455528375176,0.0,0.0030075187517666353,0.0,0.07920791948501783,0.0,0.0,0.0,0.0,0.0,0.018269566127232142
