ScaMorph_ncc1_reg1
,Unknown,Liver,non_jec,HD95
p_0,0.9756266811704821,0.8556884409365833,0.06147575378417969,4.58257569495584
p_1,0.9857870446646666,0.9162436256096436,0.024375438690185547,1.4142135623730951
p_2,0.9715414025161282,0.8400333395291416,0.04253864288330078,7.810249675906654
p_3,0.9857169132775114,0.9317186384393895,0.03128862380981445,1.0
p_4,0.9660179564966598,0.8165901766238447,0.043714046478271484,8.717797887081348
p_5,0.9492558750741603,0.652848636661597,0.0564723014831543,12.68857754044952
p_6,0.9732487020193754,0.8457488167271754,0.040132999420166016,5.0990195135927845
p_7,0.9802657678918407,0.9040962306727752,0.038538455963134766,1.4142135623730951
p_8,0.968490438601832,0.8001540494743911,0.07039117813110352,9.219544457292887
p_9,0.9713202296164662,0.8681031018822263,0.0604395866394043,4.123105625617661
p_10,0.9748407982915895,0.8736940161810128,0.04956960678100586,4.47213595499958
p_11,0.9629784943131026,0.7911775788405148,0.06475543975830078,11.045361017187261
p_12,0.9793298941916679,0.8813069449393128,0.06629133224487305,4.242640687119285
p_13,0.9827529521405788,0.8989128336517909,0.06973409652709961,2.449489742783178
p_14,0.9518189555861684,0.7624454222456275,0.055304527282714844,11.224972160321824
p_15,0.9865373383022149,0.9164068381434597,0.044345855712890625,1.4142135623730951
p_16,0.9652949261023551,0.7309222196562614,0.04909086227416992,27.313000567495326
p_17,0.9879469588776328,0.9243052783065575,0.045331478118896484,1.0
p_18,0.9861266825643186,0.9012815079941626,0.049480438232421875,2.0
p_19,0.9715634165691072,0.8842979700888567,0.03390979766845703,5.477225575051661
p_20,0.9861603350864413,0.9219614112138217,0.026184558868408203,1.0
p_21,0.970752009150466,0.8149236521049841,0.0726003646850586,6.557438524302
p_22,0.9725310632936095,0.8473660597609943,0.030152320861816406,4.0
p_23,0.9898479176931204,0.9360916117468695,0.03927469253540039,1.0
p_24,0.9638611125732767,0.8212329155444164,0.039043426513671875,6.6332495807108
p_25,0.9735285243158823,0.8515806883381652,0.06224822998046875,7.54983443527075
p_26,0.9733443403445589,0.8605094566331679,0.025532245635986328,4.242640687119285
p_27,0.9803555691649922,0.9072942318529523,0.027067184448242188,2.0
p_28,0.9692302760028902,0.8182379590108962,0.04627370834350586,4.69041575982343
p_29,0.9829984510539774,0.8747985897118278,0.06984758377075195,4.898979485566356
p_30,0.9736983342516277,0.8222014597307666,0.07059431076049805,5.916079783099616
p_31,0.9628673398378529,0.7472114668513178,0.0738062858581543,5.0990195135927845
p_32,0.9883106276306592,0.9327997734312149,0.02769184112548828,1.0
p_33,0.9750125465590156,0.8626307660476447,0.03506660461425781,6.4031242374328485
p_34,0.964577652024044,0.816177577335688,0.04911088943481445,8.717797887081348
p_35,0.9750362655765205,0.8625780286624032,0.06504154205322266,4.898979485566356
p_36,0.9785271247141586,0.8782482996032587,0.05824470520019531,3.0
p_37,0.9727879357894545,0.8358659352604602,0.052477359771728516,7.681145747868608
p_38,0.9803844191161184,0.8962489353655662,0.040314674377441406,3.0
p_39,0.965583276798754,0.8275308564004837,0.03688812255859375,9.273618495495704
